date,actual_price,mean_forecast,vol_forecast
1995-03-20,1.117,1.067885443487243,0.03786550202667347
1995-03-27,1.138,1.0666715187892377,0.0451302589850596
1995-04-03,1.148,1.0766194202547903,0.05379538088965115
1995-04-10,1.169,1.0925563784856887,0.01783183465310622
1995-04-17,1.179,1.111836570653384,0.03933698595550519
1995-04-24,1.197,1.1269992166867902,0.01660852295265992
1995-05-01,1.199,1.1503034345120153,0.011707337509389484
1995-05-08,1.199,1.1579935773272099,0.020310991200414377
1995-05-15,1.196,1.1802469663814281,0.011719019485642445
1995-05-22,1.189,1.1887262137717114,0.007105091685773516
1995-05-29,1.182,1.2071502786092836,0.028197181984033346
1995-06-05,1.175,1.205042673572977,0.9912656229487617
1995-06-12,1.165,1.2000987137184334,0.03589655778052489
1995-06-19,1.153,1.194560302759999,0.05085389084879466
1995-06-26,1.144,1.1852550201967818,0.01804084191508765
1995-07-03,1.132,1.1771674333362345,0.0436288553936286
1995-07-10,1.127,1.1701335613918373,2.0087380115185867
1995-07-17,1.125,1.1592228806579905,0.020642330339570494
1995-07-24,1.124,1.1456028585845115,0.019912368129585484
1995-07-31,1.117,1.1368131192314783,0.03541164768021404
1995-08-07,1.113,1.1246078304132694,0.023519168116320276
1995-08-14,1.111,1.1215392502865373,0.05758549993307467
1995-08-21,1.11,1.1226058945490465,0.029486979769411104
1995-08-28,1.109,1.1232227451718535,0.0258327685055355
1995-09-04,1.105,1.1144165442884468,0.019267040194602965
1995-09-11,1.097,1.109781493925613,0.021147551995455593
1995-09-18,1.087,1.108744001889091,0.039790777747174697
1995-09-25,1.079,1.108990092675041,0.046796541019826436
1995-10-02,1.068,1.1084185935774016,0.07822686403895673
1995-10-09,1.065,1.1032987047891467,0.05885443125682842
1995-10-16,1.063,1.092929667072183,0.053569215072815445
1995-10-23,1.06,1.0808118091582959,0.04229934387027291
1995-10-30,1.061,1.072790216577975,0.0278210507816203
1995-11-06,1.062,1.0613216219461115,0.022201202545818203
1995-11-13,1.063,1.0606031217208174,0.062180260448970445
1995-11-20,1.078,1.0611109104552527,0.029996365510567675
1995-11-27,1.082,1.0585402094506928,0.01774569649966151
1995-12-04,1.083,1.06062584946571,0.04916823195374525
1995-12-11,1.093,1.0625981915159195,0.006755319226188466
1995-12-18,1.098,1.0637939302163162,0.006610318578374819
1995-12-25,1.091,1.0840524686961468,0.013879895380190865
1996-01-01,1.087,1.0879769280026088,0.5659107700298001
1996-01-08,1.083,1.0853123983363306,0.022418448679725443
1996-01-15,1.08,1.0968713643982944,0.060262266601875066
1996-01-22,1.087,1.102256693669838,0.01635445110788155
1996-01-29,1.107,1.0904893374791893,0.02526460923892484
1996-02-05,1.124,1.0834389573163452,0.023033265850150867
1996-02-12,1.125,1.0797158015030819,0.006748438899042767
1996-02-19,1.135,1.0776919114556904,0.0368843544779011
1996-02-26,1.164,1.0885333250719114,0.0190802565313951
1996-03-04,1.178,1.1169840999625908,0.053798160909672745
1996-03-11,1.204,1.1367296780795062,0.028572563445001108
1996-03-18,1.242,1.1310315585194541,0.026585334932660822
1996-03-25,1.256,1.139566333426124,0.05950801204549534
1996-04-01,1.273,1.1775327520039822,0.0647064402192728
1996-04-08,1.275,1.1915726268868545,0.026156321763984688
1996-04-15,1.277,1.2194951805611018,0.032313113805457996
1996-04-22,1.285,1.2651524089365107,0.025932784037468952
1996-04-29,1.275,1.2732419273982836,0.024797938428000675
1996-05-06,1.269,1.2854184748443924,0.006849224398008995
1996-05-13,1.262,1.2805478853295578,0.02383223068895387
1996-05-20,1.258,1.2785712209044608,0.021328345332234603
1996-05-27,1.245,1.2882270469084185,0.08663577713745822
1996-06-03,1.234,1.273300139251355,0.04177103084684463
1996-06-10,1.231,1.2642511075022895,0.032155796910432764
1996-06-17,1.228,1.2568532974382576,0.0189163419302973
1996-06-24,1.227,1.2541692198321939,0.006959496581468901
1996-07-01,1.218,1.2386736877555318,0.029870614659059568
1996-07-08,1.207,1.2261491485975762,0.00798077939741475
1996-07-15,1.203,1.2260797867236106,0.04032637433153185
1996-07-22,1.205,1.2256028959284908,0.12086178687391665
1996-07-29,1.209,1.225964105386028,0.06015588021778063
1996-08-05,1.197,1.214278159210428,0.016320491832552356
1996-08-12,1.203,1.200097499463135,0.02829585715543161
1996-08-19,1.206,1.197901501594143,0.0179832791677987
1996-08-26,1.206,1.2041355357614036,0.018348426025332456
1996-09-02,1.2,1.2111255150848947,0.01781191999345402
1996-09-09,1.194,1.1936716545343005,0.06092604597317033
1996-09-16,1.203,1.202265187345247,0.007582722106848335
1996-09-23,1.204,1.2080710350147945,0.018814304901743052
1996-09-30,1.215,1.2072476381553598,0.007064418006299729
1996-10-07,1.223,1.1979201943469853,0.04232646436872343
1996-10-14,1.226,1.1899458162464613,0.04332403536627059
1996-10-21,1.236,1.2044074013726944,0.03061137622163098
1996-10-28,1.244,1.206429626970591,0.025468002153211013
1996-11-04,1.241,1.220172769602486,0.009843202048969981
1996-11-11,1.241,1.2291710354197587,0.006982164226635226
1996-11-18,1.236,1.2298520852443697,0.06090363311131388
1996-11-25,1.231,1.241021564617395,0.007605000600576597
1996-12-02,1.227,1.2498718874776111,0.023102223025333744
1996-12-09,1.225,1.2425369407355955,0.017979173530783106
1996-12-16,1.241,1.240572784506335,0.00692361645861842
1996-12-23,1.241,1.2337271110981116,0.048259973751605886
1996-12-30,1.238,1.2276174860666693,0.017401147281427463
1997-01-06,1.236,1.2238269115977771,0.024403581085697557
1997-01-13,1.234,1.2228677558578145,0.03840406825314631
1997-01-20,1.227,1.2464689725769609,0.04844130289088142
1997-01-27,1.223,1.2452458996957383,0.008370943303713522
1997-02-03,1.215,1.2378516376634159,0.015369856271896125
1997-02-10,1.206,1.2343500203849376,0.007094583869713481
1997-02-17,1.2,1.2323443069485758,0.0061969826411015765
1997-02-24,1.204,1.223615492858244,0.03358972901277342
1997-03-03,1.2,1.2195282786657695,0.021595845808490433
1997-03-10,1.203,1.2104513168982933,0.02193642155534745
1997-03-17,1.199,1.200139498607323,0.013251062027360896
1997-03-24,1.199,1.1948749621768142,0.04212438214593004
1997-03-31,1.195,1.2035048816275213,0.01693491900939298
1997-04-07,1.193,1.1993669024045603,0.034405131932219224
1997-04-14,1.193,1.2034773650321442,0.05001485590196161
1997-04-21,1.203,1.1980736004190309,0.031689179745385064
1997-04-28,1.212,1.1981079538025854,0.09497933553219212
1997-05-05,1.215,1.1932474711545957,0.050052338608476986
1997-05-12,1.207,1.1911627818169228,0.0344959255191858
1997-05-19,1.198,1.1922508225780581,0.04517265761413755
1997-05-26,1.187,1.206777026924703,0.04649893615342669
1997-06-02,1.181,1.2182629909821086,0.03887764543180221
1997-06-09,1.177,1.2192197624027263,0.01669632427036838
1997-06-16,1.173,1.2050408613465973,0.060373014748759994
